,Date,Open,High,Low,Close,Adj Close,Volume,Open_Change,Gain_Loss_Open
162.0,723398,0.136719,0.136719,0.13616099999999998,0.13616099999999998,0.10688399999999999,93497600.0,0.011719,1
163.0,723399,0.116629,0.11718800000000001,0.116629,0.116629,0.091552,16620800.0,-0.02009,0
164.0,723401,0.088728,0.088728,0.08817,0.08817,0.069212,25446400.0,-0.027901,0
165.0,723402,0.082589,0.083147,0.082589,0.082589,0.064831,31091200.0,-0.006139,0
166.0,723404,0.08482100000000001,0.08482100000000001,0.083705,0.083705,0.065707,50624000.0,0.002232,1
167.0,723405,0.104353,0.104353,0.103795,0.103795,0.081477,27484800.0,0.019532,1
168.0,723406,0.103237,0.103237,0.102121,0.102121,0.080163,24192000.0,-0.001116,0
169.0,723409,0.099888,0.099888,0.098772,0.098772,0.077534,18905600.0,-0.0033490000000000004,0
170.0,723410,0.09765599999999999,0.09765599999999999,0.09654,0.09654,0.075782,17001600.0,-0.002232,0
171.0,723411,0.09654,0.09654,0.095424,0.095424,0.074906,20675200.0,-0.001116,0
172.0,723412,0.09654,0.097098,0.09654,0.09654,0.075782,17113600.0,0.0,1
173.0,723413,0.09096,0.09096,0.08984400000000001,0.08984400000000001,0.070526,41910400.0,-0.00558,0
174.0,723416,0.08482100000000001,0.08482100000000001,0.084263,0.084263,0.06614500000000001,23072000.0,-0.006139,0
175.0,723417,0.086496,0.08705399999999999,0.086496,0.086496,0.067898,40700800.0,0.001675,1
176.0,723418,0.085379,0.085379,0.08482100000000001,0.08482100000000001,0.066583,33600000.0,-0.001117,0
177.0,723419,0.085379,0.085938,0.085379,0.085379,0.067021,25916800.0,0.0,1
178.0,723420,0.08984400000000001,0.090402,0.08984400000000001,0.08984400000000001,0.070526,38035200.0,0.004465,1
179.0,723423,0.08984400000000001,0.090402,0.08984400000000001,0.08984400000000001,0.070526,40947200.0,0.0,1
180.0,723424,0.142299,0.14285699999999998,0.142299,0.142299,0.111702,21504000.0,0.052454999999999995,1
181.0,723425,0.122768,0.122768,0.121652,0.121652,0.09549500000000001,16755200.0,-0.019531,0
182.0,723426,0.106027,0.106027,0.10546900000000001,0.10546900000000001,0.082791,15321600.0,-0.016741,0
183.0,723427,0.122768,0.123326,0.122768,0.122768,0.096371,12499200.0,0.016741,1
184.0,723429,0.138951,0.139509,0.138951,0.138951,0.109074,119593600.0,0.016183000000000003,1
185.0,723430,0.108259,0.108259,0.107701,0.107701,0.084543,32883200.0,-0.030692,0
186.0,723432,0.08817,0.088728,0.08817,0.08817,0.069212,30531200.0,-0.020089,0
187.0,723433,0.083147,0.084263,0.083147,0.083147,0.06526900000000001,54521600.0,-0.005023,0
188.0,723434,0.081473,0.08203099999999999,0.081473,0.081473,0.063955,20384000.0,-0.001674,0
189.0,723435,0.084263,0.08482100000000001,0.084263,0.084263,0.06614500000000001,34272000.0,0.00279,1
190.0,723437,0.085379,0.085379,0.08482100000000001,0.08482100000000001,0.066583,27686400.0,0.001116,1
191.0,723438,0.083147,0.083147,0.082589,0.082589,0.064831,19510400.0,-0.002232,0
192.0,723439,0.081473,0.081473,0.080915,0.080915,0.06351699999999999,19353600.0,-0.001674,0
193.0,723440,0.07924099999999999,0.07924099999999999,0.078683,0.078683,0.061765,19376000.0,-0.002232,0
194.0,723441,0.07924099999999999,0.079799,0.07924099999999999,0.07924099999999999,0.062202999999999994,26320000.0,0.0,1
195.0,723444,0.079799,0.08035700000000001,0.079799,0.079799,0.062641,49033600.0,0.000558,1
196.0,723445,0.07589299999999999,0.07589299999999999,0.075335,0.075335,0.059137,47420800.0,-0.003906,0
197.0,723446,0.074777,0.074777,0.073661,0.073661,0.057823,28201600.0,-0.001116,0
198.0,723447,0.073661,0.073661,0.073103,0.073103,0.057385000000000005,18300800.0,-0.001116,0
199.0,723448,0.06473200000000001,0.06473200000000001,0.06361599999999999,0.06361599999999999,0.049937,34608000.0,-0.008929000000000001,0
200.0,723451,0.064174,0.06473200000000001,0.064174,0.064174,0.050375,91728000.0,-0.000558,0
201.0,723452,0.067522,0.06808,0.067522,0.067522,0.053003999999999996,94684800.0,0.003348,1
202.0,723453,0.06808,0.068638,0.06808,0.06808,0.053441999999999996,49996800.0,0.000558,1
203.0,723455,0.121652,0.12220999999999999,0.121652,0.121652,0.09549500000000001,18345600.0,0.053572,1
204.0,723456,0.101004,0.101004,0.10044600000000001,0.10044600000000001,0.078848,28380800.0,-0.020648,0
